customer_id,local_code,initials,tenure_start,consent_at,is_active
1,CS-001,SR,2023-12-03,2023-12-03,True
2,CS-002,BU,2023-11-05,2023-11-05,True
3,CS-003,PA,2023-07-30,2023-07-30,True
4,CS-004,WA,2023-12-19,2023-12-19,True
5,CS-005,HE,2023-10-03,2023-10-03,True
6,CS-006,SU,2023-08-14,2023-08-14,True
7,CS-007,DE,2023-10-17,2023-10-17,True
8,CS-008,NU,2023-10-27,2023-10-27,True
9,CS-009,AN,2024-02-22,2024-02-22,True
10,CS-010,YU,2023-10-27,2023-10-27,True
11,CS-011,MA,2024-01-10,2024-01-10,True
12,CS-012,RA,2023-12-07,2023-12-07,True
13,CS-013,SI,2023-09-09,2023-09-09,True
14,CS-014,EM,2023-07-08,2023-07-08,True
15,CS-015,RO,2023-11-29,2023-11-29,True
16,CS-016,FI,2023-11-10,2023-11-10,True
17,CS-017,LA,2023-09-15,2023-09-15,True
18,CS-018,KA,2024-02-22,2024-02-22,True
19,CS-019,DA,2023-07-24,2023-07-24,True
20,CS-020,TU,2023-10-10,2023-10-10,True
21,CS-021,ZU,2023-10-24,2023-10-24,True
22,CS-022,IN,2024-01-09,2024-01-09,True
23,CS-023,HA,2023-08-15,2023-08-15,True
24,CS-024,BA,2023-09-23,2023-09-23,True
25,CS-025,MU,2023-10-16,2023-10-16,True
26,CS-026,SA,2023-10-02,2023-10-02,True
27,CS-027,NA,2024-01-28,2024-01-28,True
28,CS-028,WI,2023-12-07,2023-12-07,True
29,CS-029,AG,2024-02-21,2024-02-21,True
30,CS-030,JU,2023-10-21,2023-10-21,True
31,CS-031,TO,2023-08-20,2023-08-20,True
32,CS-032,AM,2023-12-02,2023-12-02,True
33,CS-033,PU,2023-09-14,2023-09-14,True
34,CS-034,DI,2023-08-03,2023-08-03,True
35,CS-035,EK,2023-12-20,2023-12-20,True
36,CS-036,RU,2023-11-29,2023-11-29,True
37,CS-037,TA,2024-02-25,2024-02-25,True
38,CS-038,BI,2023-10-02,2023-10-02,True
39,CS-039,CO,2023-10-07,2023-10-07,True
40,CS-040,LI,2023-12-08,2023-12-08,True
