ledger_id,customer_id,amount,note,borrowed_at,is_cleared
1099,35,71000.0,,2024-01-01,True
907,31,60000.0,,2024-01-01,True
749,27,90000.0,,2024-01-01,True
1254,38,114000.0,,2024-01-02,True
1380,40,77000.0,,2024-01-02,True
873,30,37000.0,,2024-01-03,False
538,21,58000.0,,2024-01-03,True
583,22,78000.0,,2024-01-03,True
750,27,32000.0,,2024-01-03,True
826,29,46000.0,,2024-01-04,True
1195,37,73000.0,,2024-01-05,True
1100,35,98000.0,,2024-01-05,True
1381,40,104000.0,,2024-01-05,True
1316,39,48000.0,,2024-01-05,False
447,18,22000.0,,2024-01-05,True
330,13,52000.0,,2024-01-05,True
482,19,67000.0,,2024-01-05,True
296,12,35000.0,,2024-01-06,True
164,7,42000.0,,2024-01-06,True
539,21,31000.0,,2024-01-06,True
110,5,45000.0,,2024-01-06,True
483,19,29000.0,,2024-01-06,True
712,26,53000.0,,2024-01-07,True
484,19,26000.0,,2024-01-07,True
1196,37,75000.0,,2024-01-07,True
827,29,98000.0,,2024-01-07,True
965,33,90000.0,,2024-01-08,True
331,13,22000.0,,2024-01-08,True
1144,36,51000.0,,2024-01-08,True
92,4,76000.0,,2024-01-08,True
1317,39,55000.0,,2024-01-08,True
1,1,32000.0,,2024-01-08,True
936,32,45000.0,,2024-01-09,True
32,2,73000.0,,2024-01-09,True
1318,39,54000.0,,2024-01-09,False
207,9,36000.0,,2024-01-10,True
208,9,79000.0,,2024-01-10,True
515,20,72000.0,,2024-01-10,True
1255,38,75000.0,,2024-01-10,True
1145,36,80000.0,,2024-01-10,True
540,21,73000.0,,2024-01-11,True
1256,38,61000.0,,2024-01-11,False
239,10,58000.0,,2024-01-11,True
384,15,41000.0,,2024-01-11,True
614,23,88000.0,,2024-01-11,True
874,30,91000.0,,2024-01-12,True
1197,37,81000.0,,2024-01-12,True
1028,34,74000.0,,2024-01-12,True
751,27,88000.0,,2024-01-13,True
297,12,37000.0,,2024-01-13,True
1382,40,51000.0,,2024-01-13,True
516,20,57000.0,,2024-01-13,True
584,22,89000.0,,2024-01-13,True
1319,39,49000.0,,2024-01-13,True
61,3,52000.0,,2024-01-14,True
185,8,45000.0,,2024-01-14,True
752,27,69000.0,,2024-01-14,True
267,11,45000.0,,2024-01-14,True
485,19,74000.0,,2024-01-14,True
209,9,34000.0,,2024-01-14,True
615,23,40000.0,,2024-01-15,True
908,31,50000.0,,2024-01-15,False
937,32,45000.0,,2024-01-15,True
210,9,41000.0,,2024-01-15,True
1320,39,42000.0,,2024-01-16,True
429,17,37000.0,,2024-01-16,True
966,33,44000.0,,2024-01-16,True
1146,36,114000.0,,2024-01-16,True
753,27,92000.0,,2024-01-16,False
332,13,42000.0,,2024-01-16,False
486,19,51000.0,,2024-01-16,True
1198,37,43000.0,,2024-01-17,True
1321,39,42000.0,,2024-01-17,True
673,25,58000.0,,2024-01-17,True
1101,35,52000.0,,2024-01-17,True
1199,37,76000.0,,2024-01-18,True
407,16,46000.0,,2024-01-18,True
1147,36,72000.0,,2024-01-18,True
967,33,118000.0,,2024-01-19,False
365,14,53000.0,,2024-01-19,True
828,29,63000.0,,2024-01-19,True
1148,36,61000.0,,2024-01-20,True
1257,38,111000.0,,2024-01-20,True
1200,37,44000.0,,2024-01-20,True
268,11,61000.0,,2024-01-21,True
674,25,58000.0,,2024-01-21,True
186,8,31000.0,,2024-01-21,True
1322,39,82000.0,,2024-01-22,False
111,5,57000.0,,2024-01-22,True
644,24,54000.0,,2024-01-22,True
541,21,84000.0,,2024-01-22,True
112,5,60000.0,,2024-01-23,True
829,29,35000.0,,2024-01-23,True
269,11,48000.0,,2024-01-23,True
1383,40,86000.0,,2024-01-23,False
713,26,92000.0,,2024-01-23,True
333,13,73000.0,,2024-01-23,True
1323,39,112000.0,,2024-01-24,True
1201,37,44000.0,,2024-01-25,True
298,12,60000.0,,2024-01-25,True
1258,38,57000.0,,2024-01-26,True
113,5,39000.0,,2024-01-26,True
754,27,53000.0,,2024-01-26,True
1149,36,100000.0,,2024-01-26,True
875,30,53000.0,,2024-01-27,True
1102,35,62000.0,,2024-01-27,True
714,26,31000.0,,2024-01-27,True
33,2,70000.0,,2024-01-27,False
1324,39,57000.0,,2024-01-27,True
1202,37,95000.0,,2024-01-28,True
366,14,38000.0,,2024-01-28,True
430,17,42000.0,,2024-01-28,True
431,17,77000.0,,2024-01-28,True
1384,40,70000.0,,2024-01-28,True
270,11,53000.0,,2024-01-28,True
1029,34,100000.0,,2024-01-29,True
1203,37,74000.0,,2024-01-29,True
715,26,48000.0,,2024-01-30,True
241,10,70000.0,,2024-01-30,True
240,10,65000.0,,2024-01-30,True
93,4,24000.0,,2024-01-30,True
211,9,77000.0,,2024-01-31,True
1385,40,72000.0,,2024-01-31,True
675,25,79000.0,,2024-02-01,True
1150,36,74000.0,,2024-02-01,True
1260,38,97000.0,,2024-02-01,True
1259,38,65000.0,,2024-02-01,True
755,27,69000.0,,2024-02-01,True
448,18,75000.0,,2024-02-02,True
542,21,42000.0,,2024-02-02,True
299,12,71000.0,,2024-02-02,True
1262,38,116000.0,,2024-02-03,True
334,13,26000.0,,2024-02-03,True
938,32,65000.0,,2024-02-03,True
1261,38,106000.0,,2024-02-03,True
1204,37,114000.0,,2024-02-03,True
1325,39,104000.0,,2024-02-04,True
616,23,94000.0,,2024-02-04,True
617,23,84000.0,,2024-02-04,True
271,11,67000.0,,2024-02-04,True
1263,38,79000.0,,2024-02-05,True
2,1,80000.0,,2024-02-05,True
756,27,49000.0,,2024-02-05,True
1103,35,40000.0,,2024-02-05,True
450,18,47000.0,,2024-02-06,True
1104,35,96000.0,,2024-02-06,True
909,31,40000.0,,2024-02-06,True
1386,40,110000.0,,2024-02-06,False
449,18,75000.0,,2024-02-06,True
1264,38,92000.0,,2024-02-07,False
335,13,60000.0,,2024-02-07,True
212,9,53000.0,,2024-02-07,True
716,26,61000.0,,2024-02-07,True
165,7,56000.0,,2024-02-08,True
487,19,72000.0,,2024-02-08,True
1030,34,108000.0,,2024-02-09,True
1326,39,69000.0,,2024-02-09,True
1031,34,110000.0,,2024-02-09,True
717,26,41000.0,,2024-02-09,True
213,9,56000.0,,2024-02-10,True
187,8,53000.0,,2024-02-10,True
1327,39,96000.0,,2024-02-10,False
1151,36,96000.0,,2024-02-10,True
757,27,62000.0,,2024-02-11,True
830,29,64000.0,,2024-02-11,True
792,28,96000.0,,2024-02-11,True
1387,40,68000.0,,2024-02-11,True
1205,37,92000.0,,2024-02-11,False
1328,39,68000.0,,2024-02-11,True
408,16,37000.0,,2024-02-12,True
336,13,22000.0,,2024-02-12,True
793,28,82000.0,,2024-02-12,True
451,18,53000.0,,2024-02-12,False
1105,35,99000.0,,2024-02-13,True
62,3,75000.0,,2024-02-13,True
