repayment_id,ledger_id,amount,repaid_at
910,750,32000.0,2024-01-04
716,583,78000.0,2024-01-05
1542,1381,104000.0,2024-01-07
412,330,33000.0,2024-01-07
1092,907,60000.0,2024-01-08
1,1,32000.0,2024-01-09
594,483,29000.0,2024-01-09
909,749,90000.0,2024-01-09
413,330,19000.0,2024-01-09
554,447,22000.0,2024-01-10
1540,1380,43000.0,2024-01-10
366,296,35000.0,2024-01-10
595,484,14000.0,2024-01-11
1285,1099,41000.0,2024-01-11
996,826,46000.0,2024-01-11
414,331,22000.0,2024-01-12
476,384,41000.0,2024-01-12
593,482,67000.0,2024-01-12
130,110,45000.0,2024-01-13
913,752,39000.0,2024-01-14
328,267,16000.0,2024-01-14
634,515,37000.0,2024-01-14
666,538,58000.0,2024-01-14
636,516,57000.0,2024-01-14
251,208,79000.0,2024-01-14
367,297,20000.0,2024-01-14
198,164,42000.0,2024-01-14
1376,1197,81000.0,2024-01-15
914,752,30000.0,2024-01-15
596,484,12000.0,2024-01-15
997,827,36000.0,2024-01-15
368,297,17000.0,2024-01-15
1374,1196,46000.0,2024-01-15
37,32,73000.0,2024-01-15
329,267,29000.0,2024-01-15
598,486,28000.0,2024-01-16
226,185,16000.0,2024-01-16
110,92,76000.0,2024-01-16
1121,937,45000.0,2024-01-16
252,209,12000.0,2024-01-16
533,429,37000.0,2024-01-17
862,712,27000.0,2024-01-17
599,486,23000.0,2024-01-17
597,485,74000.0,2024-01-17
254,210,24000.0,2024-01-17
73,61,52000.0,2024-01-17
668,540,73000.0,2024-01-18
253,209,22000.0,2024-01-18
749,614,88000.0,2024-01-19
1483,1317,55000.0,2024-01-19
255,210,17000.0,2024-01-19
294,239,58000.0,2024-01-19
1541,1380,34000.0,2024-01-19
227,185,29000.0,2024-01-19
635,515,35000.0,2024-01-19
1543,1382,32000.0,2024-01-19
812,673,58000.0,2024-01-21
250,207,36000.0,2024-01-21
911,751,40000.0,2024-01-22
1286,1099,30000.0,2024-01-22
1326,1145,52000.0,2024-01-22
453,365,53000.0,2024-01-22
1157,966,30000.0,2024-01-22
1484,1319,23000.0,2024-01-23
998,827,62000.0,2024-01-23
1375,1196,29000.0,2024-01-24
1048,874,29000.0,2024-01-24
131,111,26000.0,2024-01-25
133,112,23000.0,2024-01-25
1544,1382,19000.0,2024-01-25
228,186,13000.0,2024-01-25
750,615,40000.0,2024-01-26
1429,1255,75000.0,2024-01-26
781,644,36000.0,2024-01-27
504,407,46000.0,2024-01-27
134,112,37000.0,2024-01-27
717,584,89000.0,2024-01-27
863,712,26000.0,2024-01-27
1486,1320,42000.0,2024-01-27
1491,1324,57000.0,2024-01-28
1000,829,18000.0,2024-01-28
534,430,17000.0,2024-01-28
1328,1146,114000.0,2024-01-28
1489,1323,34000.0,2024-01-28
132,111,31000.0,2024-01-28
229,186,18000.0,2024-01-29
1158,966,14000.0,2024-01-29
535,430,25000.0,2024-01-29
1120,936,45000.0,2024-01-29
295,240,36000.0,2024-01-30
866,715,16000.0,2024-01-30
864,713,92000.0,2024-01-30
667,539,31000.0,2024-01-30
330,268,61000.0,2024-01-30
912,751,48000.0,2024-01-31
669,541,27000.0,2024-01-31
867,715,32000.0,2024-01-31
331,269,48000.0,2024-01-31
296,240,29000.0,2024-01-31
415,333,73000.0,2024-01-31
297,241,70000.0,2024-02-01
332,270,53000.0,2024-02-01
1490,1323,78000.0,2024-02-01
1325,1144,51000.0,2024-02-01
1156,965,90000.0,2024-02-01
536,431,77000.0,2024-02-01
135,113,39000.0,2024-02-01
1485,1319,26000.0,2024-02-02
111,93,24000.0,2024-02-02
916,755,69000.0,2024-02-02
782,644,18000.0,2024-02-02
1001,829,17000.0,2024-02-02
256,211,47000.0,2024-02-02
454,366,38000.0,2024-02-03
1487,1321,22000.0,2024-02-03
1327,1145,28000.0,2024-02-03
555,448,42000.0,2024-02-03
369,298,60000.0,2024-02-03
556,448,33000.0,2024-02-04
1330,1148,32000.0,2024-02-05
370,299,71000.0,2024-02-05
257,211,30000.0,2024-02-05
1049,874,62000.0,2024-02-06
1332,1149,100000.0,2024-02-06
1050,875,20000.0,2024-02-08
333,271,45000.0,2024-02-08
417,335,26000.0,2024-02-09
1212,1029,57000.0,2024-02-09
670,541,57000.0,2024-02-09
814,675,36000.0,2024-02-09
813,674,58000.0,2024-02-09
558,450,24000.0,2024-02-09
1210,1028,41000.0,2024-02-10
865,714,31000.0,2024-02-10
1433,1260,97000.0,2024-02-10
915,754,53000.0,2024-02-11
416,334,26000.0,2024-02-11
1122,938,65000.0,2024-02-11
199,165,56000.0,2024-02-11
1383,1203,36000.0,2024-02-11
2,2,80000.0,2024-02-11
230,187,53000.0,2024-02-12
418,335,34000.0,2024-02-12
559,450,23000.0,2024-02-13
334,271,22000.0,2024-02-13
600,487,39000.0,2024-02-13
1385,1204,74000.0,2024-02-14
1373,1195,73000.0,2024-02-14
1430,1257,111000.0,2024-02-14
1093,909,40000.0,2024-02-14
259,213,56000.0,2024-02-14
335,272,31000.0,2024-02-15
505,408,12000.0,2024-02-15
1287,1100,98000.0,2024-02-15
999,828,63000.0,2024-02-15
557,449,75000.0,2024-02-15
298,242,31000.0,2024-02-15
38,34,46000.0,2024-02-16
1094,910,51000.0,2024-02-16
477,385,28000.0,2024-02-16
1381,1202,54000.0,2024-02-16
421,338,25000.0,2024-02-16
422,338,48000.0,2024-02-17
258,212,53000.0,2024-02-17
419,336,22000.0,2024-02-18
815,675,43000.0,2024-02-18
1494,1328,68000.0,2024-02-18
74,62,75000.0,2024-02-19
601,487,33000.0,2024-02-19
506,408,25000.0,2024-02-19
39,34,24000.0,2024-02-19
962,792,96000.0,2024-02-20
40,35,65000.0,2024-02-20
1290,1103,26000.0,2024-02-20
1213,1029,43000.0,2024-02-20
420,337,50000.0,2024-02-20
752,617,84000.0,2024-02-21
1378,1199,76000.0,2024-02-21
1435,1262,116000.0,2024-02-21
1051,875,33000.0,2024-02-21
1331,1148,29000.0,2024-02-21
1488,1321,20000.0,2024-02-21
1545,1384,70000.0,2024-02-22
1546,1385,72000.0,2024-02-22
336,273,31000.0,2024-02-22
751,616,94000.0,2024-02-23
1428,1254,114000.0,2024-02-23
917,756,49000.0,2024-02-24
478,386,30000.0,2024-02-24
261,215,15000.0,2024-02-24
918,757,62000.0,2024-02-24
1384,1203,38000.0,2024-02-24
337,273,18000.0,2024-02-25
1436,1263,36000.0,2024-02-25
165,139,42000.0,2024-02-25
919,758,26000.0,2024-02-25
1386,1204,40000.0,2024-02-25
1002,830,64000.0,2024-02-26
869,717,41000.0,2024-02-26
75,63,80000.0,2024-02-26
718,585,13000.0,2024-02-27
262,215,10000.0,2024-02-27
1288,1101,52000.0,2024-02-28
671,542,42000.0,2024-02-28
260,214,56000.0,2024-02-28
4,4,29000.0,2024-02-28
602,488,45000.0,2024-02-28
1434,1261,106000.0,2024-02-29
1216,1031,110000.0,2024-02-29
1439,1266,119000.0,2024-02-29
1329,1147,72000.0,2024-02-29
5,4,26000.0,2024-02-29
76,64,32000.0,2024-03-01
603,489,37000.0,2024-03-01
41,36,24000.0,2024-03-01
299,243,71000.0,2024-03-01
372,301,72000.0,2024-03-01
3,3,25000.0,2024-03-02
1004,832,68000.0,2024-03-02
455,367,28000.0,2024-03-02
560,452,45000.0,2024-03-02
1339,1156,94000.0,2024-03-02
507,409,54000.0,2024-03-03
456,368,37000.0,2024-03-03
338,274,59000.0,2024-03-03
339,275,42000.0,2024-03-03
920,758,51000.0,2024-03-03
868,716,61000.0,2024-03-04
1003,831,61000.0,2024-03-04
42,36,15000.0,2024-03-04
43,37,60000.0,2024-03-04
719,585,18000.0,2024-03-04
637,517,26000.0,2024-03-04
300,244,66000.0,2024-03-04
371,300,35000.0,2024-03-05
1379,1200,44000.0,2024-03-05
537,432,30000.0,2024-03-05
1289,1102,62000.0,2024-03-05
1432,1259,65000.0,2024-03-06
1380,1201,44000.0,2024-03-06
963,793,82000.0,2024-03-06
1382,1202,41000.0,2024-03-06
783,645,84000.0,2024-03-07
44,38,32000.0,2024-03-07
1214,1030,51000.0,2024-03-07
538,433,37000.0,2024-03-07
1291,1103,14000.0,2024-03-07
1334,1151,96000.0,2024-03-07
263,216,35000.0,2024-03-07
816,676,46000.0,2024-03-08
818,678,25000.0,2024-03-09
1377,1198,43000.0,2024-03-09
921,759,48000.0,2024-03-10
1007,835,90000.0,2024-03-10
1431,1258,57000.0,2024-03-10
301,245,59000.0,2024-03-10
539,433,18000.0,2024-03-10
479,387,12000.0,2024-03-11
1547,1387,68000.0,2024-03-11
1211,1028,33000.0,2024-03-11
604,490,69000.0,2024-03-12
77,65,39000.0,2024-03-12
1335,1152,34000.0,2024-03-12
112,94,61000.0,2024-03-12
1333,1150,74000.0,2024-03-13
1008,836,19000.0,2024-03-13
423,339,68000.0,2024-03-13
136,114,30000.0,2024-03-13
1005,833,88000.0,2024-03-13
605,491,20000.0,2024-03-13
231,188,21000.0,2024-03-13
302,246,58000.0,2024-03-13
1497,1334,31000.0,2024-03-13
1293,1105,99000.0,2024-03-14
113,95,15000.0,2024-03-14
785,647,33000.0,2024-03-14
480,387,27000.0,2024-03-14
114,95,22000.0,2024-03-15
784,646,97000.0,2024-03-16
1437,1263,43000.0,2024-03-16
1010,837,23000.0,2024-03-16
264,217,62000.0,2024-03-16
1125,941,50000.0,2024-03-16
817,677,86000.0,2024-03-17
786,647,34000.0,2024-03-17
820,679,26000.0,2024-03-17
340,276,64000.0,2024-03-17
78,66,45000.0,2024-03-17
1052,876,53000.0,2024-03-17
1123,939,50000.0,2024-03-17
265,218,18000.0,2024-03-17
607,492,63000.0,2024-03-17
561,453,30000.0,2024-03-18
606,491,19000.0,2024-03-18
341,277,30000.0,2024-03-18
1440,1268,74000.0,2024-03-19
1006,834,96000.0,2024-03-19
266,218,12000.0,2024-03-19
1492,1325,104000.0,2024-03-19
819,678,29000.0,2024-03-19
1009,836,42000.0,2024-03-19
373,302,27000.0,2024-03-19
1011,837,25000.0,2024-03-20
45,39,34000.0,2024-03-21
922,759,42000.0,2024-03-22
870,718,32000.0,2024-03-22
1295,1107,71000.0,2024-03-22
1548,1388,20000.0,2024-03-22
1126,942,63000.0,2024-03-22
1292,1104,96000.0,2024-03-22
267,219,50000.0,2024-03-22
562,453,41000.0,2024-03-23
6,5,79000.0,2024-03-23
1496,1330,101000.0,2024-03-23
720,586,73000.0,2024-03-24
268,220,20000.0,2024-03-24
424,340,38000.0,2024-03-24
1438,1265,63000.0,2024-03-25
1493,1326,69000.0,2024-03-25
1219,1033,43000.0,2024-03-25
79,67,21000.0,2024-03-25
1498,1334,54000.0,2024-03-25
