sale_id,sku_id,quantity,sale_date,source
1,1,1.0,2024-01-01,telegram
2,2,4.0,2024-01-01,telegram
3,3,3.0,2024-01-01,telegram
4,4,1.0,2024-01-01,telegram
5,5,4.0,2024-01-01,telegram
6,6,8.0,2024-01-01,telegram
7,7,3.0,2024-01-01,telegram
8,9,1.0,2024-01-01,telegram
9,10,7.0,2024-01-01,telegram
10,11,1.0,2024-01-01,telegram
11,18,11.0,2024-01-01,telegram
12,19,5.0,2024-01-01,telegram
13,20,8.0,2024-01-01,telegram
14,21,22.0,2024-01-01,telegram
15,22,8.0,2024-01-01,telegram
16,24,4.0,2024-01-01,telegram
17,25,3.0,2024-01-01,telegram
18,26,10.0,2024-01-01,telegram
19,27,8.0,2024-01-01,telegram
20,28,2.0,2024-01-01,telegram
21,29,1.0,2024-01-01,telegram
22,30,6.0,2024-01-01,telegram
23,31,5.0,2024-01-01,telegram
24,32,7.0,2024-01-01,telegram
25,33,14.0,2024-01-01,telegram
26,34,10.0,2024-01-01,telegram
27,35,5.0,2024-01-01,telegram
28,36,4.0,2024-01-01,telegram
29,37,7.0,2024-01-01,telegram
30,38,1.0,2024-01-01,telegram
31,40,6.0,2024-01-01,telegram
32,41,3.0,2024-01-01,telegram
33,42,1.0,2024-01-01,telegram
34,43,9.0,2024-01-01,telegram
35,44,2.0,2024-01-01,telegram
36,45,5.0,2024-01-01,telegram
37,46,4.0,2024-01-01,telegram
38,48,7.0,2024-01-01,telegram
39,49,2.0,2024-01-01,telegram
40,51,5.0,2024-01-01,telegram
41,53,2.0,2024-01-01,telegram
42,54,3.0,2024-01-01,telegram
43,56,3.0,2024-01-01,telegram
44,58,5.0,2024-01-01,telegram
45,59,7.0,2024-01-01,telegram
46,60,3.0,2024-01-01,telegram
47,64,4.0,2024-01-01,telegram
48,65,13.0,2024-01-01,telegram
49,66,4.0,2024-01-01,telegram
50,67,7.0,2024-01-01,telegram
51,68,17.0,2024-01-01,telegram
52,69,5.0,2024-01-01,telegram
53,70,6.0,2024-01-01,telegram
54,71,1.0,2024-01-01,telegram
55,72,5.0,2024-01-01,telegram
56,73,4.0,2024-01-01,telegram
57,74,13.0,2024-01-01,telegram
58,75,7.0,2024-01-01,telegram
59,79,8.0,2024-01-01,telegram
60,80,3.0,2024-01-01,telegram
61,83,7.0,2024-01-01,telegram
62,84,14.0,2024-01-01,telegram
63,85,5.0,2024-01-01,telegram
64,86,5.0,2024-01-01,telegram
65,1,5.0,2024-01-02,telegram
66,3,4.0,2024-01-02,telegram
67,4,8.0,2024-01-02,telegram
68,5,3.0,2024-01-02,telegram
69,7,1.0,2024-01-02,telegram
70,8,8.0,2024-01-02,telegram
71,9,3.0,2024-01-02,telegram
72,10,1.0,2024-01-02,telegram
73,12,3.0,2024-01-02,telegram
74,13,7.0,2024-01-02,telegram
75,17,1.0,2024-01-02,telegram
76,18,8.0,2024-01-02,telegram
77,20,6.0,2024-01-02,telegram
78,21,1.0,2024-01-02,telegram
79,23,2.0,2024-01-02,telegram
80,25,1.0,2024-01-02,telegram
81,26,7.0,2024-01-02,telegram
82,27,4.0,2024-01-02,telegram
83,28,2.0,2024-01-02,telegram
84,29,10.0,2024-01-02,telegram
85,30,6.0,2024-01-02,telegram
86,31,1.0,2024-01-02,telegram
87,32,7.0,2024-01-02,telegram
88,33,3.0,2024-01-02,telegram
89,34,4.0,2024-01-02,telegram
90,35,4.0,2024-01-02,telegram
91,36,7.0,2024-01-02,telegram
92,37,3.0,2024-01-02,telegram
93,38,4.0,2024-01-02,telegram
94,39,1.0,2024-01-02,telegram
95,40,6.0,2024-01-02,telegram
96,42,21.0,2024-01-02,telegram
97,43,4.0,2024-01-02,telegram
98,44,1.0,2024-01-02,telegram
99,45,3.0,2024-01-02,telegram
100,46,5.0,2024-01-02,telegram
101,48,14.0,2024-01-02,telegram
102,49,11.0,2024-01-02,telegram
103,51,4.0,2024-01-02,telegram
104,53,6.0,2024-01-02,telegram
105,54,7.0,2024-01-02,telegram
106,56,13.0,2024-01-02,telegram
107,57,3.0,2024-01-02,telegram
108,59,4.0,2024-01-02,telegram
109,60,5.0,2024-01-02,telegram
110,61,3.0,2024-01-02,telegram
111,67,3.0,2024-01-02,telegram
112,68,5.0,2024-01-02,telegram
113,69,1.0,2024-01-02,telegram
114,70,3.0,2024-01-02,telegram
115,71,3.0,2024-01-02,telegram
116,72,4.0,2024-01-02,telegram
117,73,5.0,2024-01-02,telegram
118,74,5.0,2024-01-02,telegram
119,75,1.0,2024-01-02,telegram
120,76,5.0,2024-01-02,telegram
121,79,7.0,2024-01-02,telegram
122,81,3.0,2024-01-02,telegram
123,85,8.0,2024-01-02,telegram
124,86,6.0,2024-01-02,telegram
125,1,4.0,2024-01-03,telegram
126,3,4.0,2024-01-03,telegram
127,4,4.0,2024-01-03,telegram
128,6,7.0,2024-01-03,telegram
129,8,1.0,2024-01-03,telegram
130,10,3.0,2024-01-03,telegram
131,11,3.0,2024-01-03,telegram
132,13,1.0,2024-01-03,telegram
133,14,5.0,2024-01-03,telegram
134,18,6.0,2024-01-03,telegram
135,19,7.0,2024-01-03,telegram
136,21,11.0,2024-01-03,telegram
137,22,2.0,2024-01-03,telegram
138,23,3.0,2024-01-03,telegram
139,26,2.0,2024-01-03,telegram
140,27,1.0,2024-01-03,telegram
