log_id,sku_id,quantity,logged_at,source
1,1,30.0,2024-01-01,telegram
47,2,31.0,2024-01-01,telegram
97,3,79.0,2024-01-01,telegram
148,4,40.0,2024-01-01,telegram
197,5,42.0,2024-01-01,telegram
247,6,77.0,2024-01-01,telegram
296,7,59.0,2024-01-01,telegram
345,8,38.0,2024-01-01,telegram
395,9,61.0,2024-01-01,telegram
445,10,24.0,2024-01-01,telegram
495,11,51.0,2024-01-01,telegram
545,12,37.0,2024-01-01,telegram
592,13,38.0,2024-01-01,telegram
639,14,40.0,2024-01-01,telegram
685,15,58.0,2024-01-01,telegram
734,16,53.0,2024-01-01,telegram
785,17,33.0,2024-01-01,telegram
835,18,124.0,2024-01-01,telegram
883,19,28.0,2024-01-01,telegram
933,20,81.0,2024-01-01,telegram
982,21,100.0,2024-01-01,telegram
1028,22,50.0,2024-01-01,telegram
1079,23,29.0,2024-01-01,telegram
1128,24,52.0,2024-01-01,telegram
1179,25,39.0,2024-01-01,telegram
1228,26,29.0,2024-01-01,telegram
1274,27,47.0,2024-01-01,telegram
1324,28,55.0,2024-01-01,telegram
1376,29,39.0,2024-01-01,telegram
1426,30,50.0,2024-01-01,telegram
1476,31,31.0,2024-01-01,telegram
1524,32,35.0,2024-01-01,telegram
1571,33,25.0,2024-01-01,telegram
1619,34,49.0,2024-01-01,telegram
1667,35,40.0,2024-01-01,telegram
1716,36,30.0,2024-01-01,telegram
1765,37,30.0,2024-01-01,telegram
1815,38,39.0,2024-01-01,telegram
1866,39,111.0,2024-01-01,telegram
1914,40,34.0,2024-01-01,telegram
1964,41,38.0,2024-01-01,telegram
2012,42,38.0,2024-01-01,telegram
2062,43,40.0,2024-01-01,telegram
2114,44,42.0,2024-01-01,telegram
2163,45,96.0,2024-01-01,telegram
2210,46,32.0,2024-01-01,telegram
2258,47,45.0,2024-01-01,telegram
2307,48,51.0,2024-01-01,telegram
2354,49,45.0,2024-01-01,telegram
2406,50,32.0,2024-01-01,telegram
2455,51,40.0,2024-01-01,telegram
2503,52,41.0,2024-01-01,telegram
2551,53,39.0,2024-01-01,telegram
2602,54,42.0,2024-01-01,telegram
2652,55,46.0,2024-01-01,telegram
2701,56,84.0,2024-01-01,telegram
2749,57,46.0,2024-01-01,telegram
2797,58,53.0,2024-01-01,telegram
2848,59,25.0,2024-01-01,telegram
2898,60,45.0,2024-01-01,telegram
2949,61,37.0,2024-01-01,telegram
2997,62,49.0,2024-01-01,telegram
3044,63,46.0,2024-01-01,telegram
3094,64,45.0,2024-01-01,telegram
3143,65,36.0,2024-01-01,telegram
3190,66,50.0,2024-01-01,telegram
3238,67,75.0,2024-01-01,telegram
3290,68,68.0,2024-01-01,telegram
3338,69,45.0,2024-01-01,telegram
3387,70,48.0,2024-01-01,telegram
3437,71,46.0,2024-01-01,telegram
3486,72,30.0,2024-01-01,telegram
3536,73,42.0,2024-01-01,telegram
3587,74,24.0,2024-01-01,telegram
3636,75,28.0,2024-01-01,telegram
3686,76,43.0,2024-01-01,telegram
3733,77,38.0,2024-01-01,telegram
3785,78,32.0,2024-01-01,telegram
3833,79,33.0,2024-01-01,telegram
3884,80,50.0,2024-01-01,telegram
3934,81,28.0,2024-01-01,telegram
3983,82,53.0,2024-01-01,telegram
4032,83,30.0,2024-01-01,telegram
4080,84,25.0,2024-01-01,telegram
4127,85,28.0,2024-01-01,telegram
4176,86,30.0,2024-01-01,telegram
396,9,35.0,2024-01-06,telegram
640,14,28.0,2024-01-06,telegram
1029,22,91.0,2024-01-06,telegram
1129,24,50.0,2024-01-06,telegram
1275,27,73.0,2024-01-06,telegram
1325,28,39.0,2024-01-06,telegram
1427,30,34.0,2024-01-06,telegram
1620,34,32.0,2024-01-06,telegram
1915,40,91.0,2024-01-06,telegram
2798,58,42.0,2024-01-06,telegram
2998,62,42.0,2024-01-06,telegram
3191,66,101.0,2024-01-06,telegram
4033,83,96.0,2024-01-06,telegram
297,7,39.0,2024-01-07,telegram
786,17,30.0,2024-01-07,telegram
1525,32,95.0,2024-01-07,telegram
2063,43,93.0,2024-01-07,telegram
2750,57,37.0,2024-01-07,telegram
3388,70,31.0,2024-01-07,telegram
3438,71,66.0,2024-01-07,telegram
3834,79,60.0,2024-01-07,telegram
3885,80,32.0,2024-01-07,telegram
593,13,58.0,2024-01-08,telegram
735,16,29.0,2024-01-08,telegram
983,21,72.0,2024-01-08,telegram
1080,23,85.0,2024-01-08,telegram
1668,35,89.0,2024-01-08,telegram
2013,42,104.0,2024-01-08,telegram
2259,47,42.0,2024-01-08,telegram
2355,49,90.0,2024-01-08,telegram
2407,50,36.0,2024-01-08,telegram
2899,60,86.0,2024-01-08,telegram
3045,63,32.0,2024-01-08,telegram
3095,64,33.0,2024-01-08,telegram
3144,65,72.0,2024-01-08,telegram
3588,74,79.0,2024-01-08,telegram
3687,76,34.0,2024-01-08,telegram
3984,82,25.0,2024-01-08,telegram
149,4,87.0,2024-01-09,telegram
346,8,61.0,2024-01-09,telegram
546,12,29.0,2024-01-09,telegram
686,15,34.0,2024-01-09,telegram
836,18,100.0,2024-01-09,telegram
1377,29,97.0,2024-01-09,telegram
1572,33,91.0,2024-01-09,telegram
1717,36,76.0,2024-01-09,telegram
1766,37,80.0,2024-01-09,telegram
1965,41,53.0,2024-01-09,telegram
2456,51,89.0,2024-01-09,telegram
2653,55,45.0,2024-01-09,telegram
3291,68,31.0,2024-01-09,telegram
3734,77,27.0,2024-01-09,telegram
3786,78,22.0,2024-01-09,telegram
3935,81,21.0,2024-01-09,telegram
2,1,102.0,2024-01-10,telegram
98,3,54.0,2024-01-10,telegram
198,5,88.0,2024-01-10,telegram
248,6,52.0,2024-01-10,telegram
446,10,83.0,2024-01-10,telegram
496,11,82.0,2024-01-10,telegram
1477,31,90.0,2024-01-10,telegram
2211,46,77.0,2024-01-10,telegram
2308,48,94.0,2024-01-10,telegram
2603,54,61.0,2024-01-10,telegram
2702,56,52.0,2024-01-10,telegram
3487,72,22.0,2024-01-10,telegram
3537,73,31.0,2024-01-10,telegram
4128,85,88.0,2024-01-10,telegram
4177,86,96.0,2024-01-10,telegram
48,2,89.0,2024-01-11,telegram
884,19,87.0,2024-01-11,telegram
934,20,35.0,2024-01-11,telegram
1180,25,27.0,2024-01-11,telegram
1229,26,50.0,2024-01-11,telegram
1428,30,58.0,2024-01-11,telegram
1816,38,27.0,2024-01-11,telegram
1867,39,61.0,2024-01-11,telegram
2115,44,85.0,2024-01-11,telegram
2164,45,54.0,2024-01-11,telegram
2504,52,26.0,2024-01-11,telegram
2552,53,82.0,2024-01-11,telegram
2849,59,81.0,2024-01-11,telegram
2950,61,26.0,2024-01-11,telegram
3239,67,33.0,2024-01-11,telegram
3339,69,38.0,2024-01-11,telegram
3637,75,100.0,2024-01-11,telegram
4081,84,60.0,2024-01-11,telegram
787,17,76.0,2024-01-12,telegram
2064,43,62.0,2024-01-12,telegram
2751,57,29.0,2024-01-12,telegram
3389,70,111.0,2024-01-12,telegram
3886,80,84.0,2024-01-12,telegram
298,7,101.0,2024-01-13,telegram
1276,27,52.0,2024-01-13,telegram
1621,34,77.0,2024-01-13,telegram
1916,40,58.0,2024-01-13,telegram
2260,47,30.0,2024-01-13,telegram
2900,60,65.0,2024-01-13,telegram
3046,63,24.0,2024-01-13,telegram
3192,66,66.0,2024-01-13,telegram
547,12,82.0,2024-01-14,telegram
641,14,63.0,2024-01-14,telegram
1326,28,80.0,2024-01-14,telegram
1526,32,72.0,2024-01-14,telegram
1573,33,62.0,2024-01-14,telegram
2356,49,49.0,2024-01-14,telegram
2408,50,85.0,2024-01-14,telegram
2799,58,76.0,2024-01-14,telegram
3936,81,60.0,2024-01-14,telegram
397,9,119.0,2024-01-15,telegram
736,16,83.0,2024-01-15,telegram
1669,35,50.0,2024-01-15,telegram
2309,48,55.0,2024-01-15,telegram
2604,54,119.0,2024-01-15,telegram
3096,64,25.0,2024-01-15,telegram
3538,73,19.0,2024-01-15,telegram
3688,76,25.0,2024-01-15,telegram
4034,83,94.0,2024-01-15,telegram
447,10,42.0,2024-01-16,telegram
594,13,35.0,2024-01-16,telegram
1030,22,113.0,2024-01-16,telegram
1081,23,81.0,2024-01-16,telegram
1130,24,43.0,2024-01-16,telegram
1378,29,78.0,2024-01-16,telegram
1718,36,51.0,2024-01-16,telegram
2014,42,78.0,2024-01-16,telegram
2116,44,65.0,2024-01-16,telegram
2457,51,54.0,2024-01-16,telegram
2654,55,23.0,2024-01-16,telegram
2703,56,29.0,2024-01-16,telegram
2850,59,52.0,2024-01-16,telegram
2999,62,25.0,2024-01-16,telegram
3787,78,21.0,2024-01-16,telegram
4129,85,84.0,2024-01-16,telegram
249,6,38.0,2024-01-17,telegram
497,11,45.0,2024-01-17,telegram
837,18,45.0,2024-01-17,telegram
885,19,47.0,2024-01-17,telegram
984,21,38.0,2024-01-17,telegram
1767,37,41.0,2024-01-17,telegram
2065,43,42.0,2024-01-17,telegram
2553,53,44.0,2024-01-17,telegram
3145,65,43.0,2024-01-17,telegram
3292,68,65.0,2024-01-17,telegram
3340,69,26.0,2024-01-17,telegram
3439,71,30.0,2024-01-17,telegram
3589,74,29.0,2024-01-17,telegram
3735,77,66.0,2024-01-17,telegram
3835,79,29.0,2024-01-17,telegram
3985,82,95.0,2024-01-17,telegram
4178,86,86.0,2024-01-17,telegram
3,1,74.0,2024-01-18,telegram
150,4,63.0,2024-01-18,telegram
347,8,46.0,2024-01-18,telegram
1181,25,94.0,2024-01-18,telegram
1817,38,23.0,2024-01-18,telegram
1966,41,83.0,2024-01-18,telegram
2212,46,45.0,2024-01-18,telegram
2901,60,33.0,2024-01-18,telegram
3638,75,63.0,2024-01-18,telegram
3887,80,65.0,2024-01-18,telegram
99,3,23.0,2024-01-19,telegram
199,5,52.0,2024-01-19,telegram
687,15,80.0,2024-01-19,telegram
